iter	Passed	Remaining
1478	89477	31519
1479	89563	31468
1480	89676	31426
1481	89768	31376
1482	89863	31327
1483	89958	31279
1484	90042	31227
1485	90137	31178
1486	90221	31125
1487	90306	31073
1488	90390	31020
1489	90478	30968
1490	90571	30919
1491	90689	30878
1492	90772	30825
1493	90883	30781
1494	90989	30735
1495	91084	30686
1496	91170	30633
1497	91287	30591
1498	91379	30541
1499	91466	30488
1500	91580	30445
1501	91689	30400
1502	91790	30352
1503	91875	30299
1504	92003	30260
1505	92111	30214
1506	92219	30168
1507	92329	30123
1508	92431	30075
1509	92525	30024
1510	92633	29978
1511	92735	29930
1512	92821	29877
1513	92923	29828
1514	93011	29775
1515	93094	29721
1516	93180	29667
1517	93271	29615
1518	93357	29562
1519	93444	29508
1520	93534	29456
1521	93622	29403
1522	93707	29349
1523	93789	29293
1524	93871	29238
1525	93958	29184
1526	94051	29133
1527	94135	29078
1528	94220	29023
1529	94310	28971
1530	94391	28915
1531	94475	28860
1532	94568	28808
1533	94654	28754
1534	94733	28697
1535	94833	28647
1536	94918	28592
1537	95004	28538
1538	95097	28486
1539	95201	28436
1540	95288	28382
1541	95377	28328
1542	95464	28274
1543	95549	28219
1544	95636	28164
1545	95723	28110
1546	95823	28059
1547	95908	28004
1548	96006	27952
1549	96091	27897
1550	96194	27847
1551	96284	27793
1552	96374	27739
1553	96473	27687
1554	96555	27631
1555	96642	27576
1556	96727	27521
1557	96814	27465
1558	96910	27413
1559	97012	27362
1560	97108	27309
1561	97215	27260
1562	97306	27206
1563	97413	27156
1564	97542	27112
1565	97627	27056
1566	97734	27006
1567	97843	26956
1568	97950	26906
1569	98061	26857
1570	98170	26807
1571	98278	26757
1572	98346	26696
1573	98403	26632
1574	98462	26569
1575	98516	26504
1576	98585	26443
1577	98645	26380
1578	98704	26317
1579	98764	26253
1580	98825	26190
1581	98901	26131
1582	98962	26069
1583	99023	26006
1584	99084	25943
1585	99142	25879
1586	99199	25815
1587	99272	25755
1588	99334	25693
1589	99389	25628
1590	99455	25567
1591	99515	25503
1592	99588	25444
1593	99674	25387
1594	99733	25324
1595	99796	25261
1596	99864	25200
1597	99936	25140
1598	100006	25079
1599	100088	25022
1600	100146	24958
1601	100220	24898
1602	100280	24835
1603	100338	24771
1604	100402	24709
1605	100463	24646
1606	100522	24583
1607	100582	24520
1608	100645	24457
1609	100715	24396
1610	100774	24333
1611	100862	24277
1612	100949	24220
1613	101017	24159
1614	101081	24096
1615	101143	24033
1616	101199	23969
1617	101261	23907
1618	101319	23843
1619	101379	23780
1620	101439	23717
1621	101497	23653
1622	101559	23590
1623	101617	23527
1624	101676	23463
1625	101739	23401
1626	101799	23338
1627	101859	23274
1628	101917	23211
1629	101976	23147
1630	102038	23085
1631	102095	23021
1632	102154	22958
1633	102215	22895
1634	102286	22834
1635	102344	22771
1636	102405	22708
1637	102470	22646
1638	102530	22582
1639	102588	22519
1640	102653	22457
1641	102711	22393
1642	102780	22332
1643	102853	22272
1644	102911	22208
1645	102965	22144
1646	103020	22080
1647	103078	22016
1648	103145	21955
1649	103200	21891
1650	103262	21828
1651	103345	21770
1652	103416	21709
1653	103495	21650
1654	103568	21589
1655	103636	21528
1656	103697	21465
1657	103756	21402
1658	103823	21340
1659	103898	21280
1660	103972	21220
1661	104028	21156
